Metric,ProductName,Unit,Year,District,Value
Üretim Miktarı,Biber (Sivri),Ton,2024,İzmir(Bayındır),4480
Ekilen Alan,Biber (Sivri),Dekar,2024,İzmir(Bergama),719
Üretim Miktarı,Biber (Sivri),Ton,2024,İzmir(Bergama),719
Ekilen Alan,Biber (Sivri),Dekar,2024,İzmir(Menderes),1361
Üretim Miktarı,Biber (Sivri),Ton,2024,İzmir(Menderes),3152
Ekilen Alan,Biber (Sivri),Dekar,2024,İzmir(Tire),
Üretim Miktarı,Biber (Sivri),Ton,2024,İzmir(Tire),
Ekilen Alan,Biber (Sivri),Dekar,2024,İzmir(Torbalı),1845
Üretim Miktarı,Biber (Sivri),Ton,2024,İzmir(Torbalı),5535
Ekilen Alan,Biber (Sivri),Dekar,2024,İzmir(Ödemiş),1500
Üretim Miktarı,Biber (Sivri),Ton,2024,İzmir(Ödemiş),5250
Ekilen Alan,Biber (Sivri),Dekar,2025,İzmir(Bayındır),1521
Üretim Miktarı,Biber (Sivri),Ton,2025,İzmir(Bayındır),4867
Ekilen Alan,Biber (Sivri),Dekar,2025,İzmir(Bergama),779
Üretim Miktarı,Biber (Sivri),Ton,2025,İzmir(Bergama),779
Ekilen Alan,Biber (Sivri),Dekar,2025,İzmir(Menderes),810
Üretim Miktarı,Biber (Sivri),Ton,2025,İzmir(Menderes),1944
Ekilen Alan,Biber (Sivri),Dekar,2025,İzmir(Tire),
Üretim Miktarı,Biber (Sivri),Ton,2025,İzmir(Tire),
Ekilen Alan,Biber (Sivri),Dekar,2025,İzmir(Torbalı),1900
Üretim Miktarı,Biber (Sivri),Ton,2025,İzmir(Torbalı),5700
Ekilen Alan,Biber (Sivri),Dekar,2025,İzmir(Ödemiş),1000
Üretim Miktarı,Biber (Sivri),Ton,2025,İzmir(Ödemiş),3500
Ekilen Alan,Domates (Sofralık),Dekar,2014,İzmir(Bayındır),2200
Üretim Miktarı,Domates (Sofralık),Ton,2014,İzmir(Bayındır),15224
Ekilen Alan,Domates (Sofralık),Dekar,2014,İzmir(Bergama),11779
Üretim Miktarı,Domates (Sofralık),Ton,2014,İzmir(Bergama),84121
Ekilen Alan,Domates (Sofralık),Dekar,2014,İzmir(Menderes),1383
Üretim Miktarı,Domates (Sofralık),Ton,2014,İzmir(Menderes),5045
Ekilen Alan,Domates (Sofralık),Dekar,2014,İzmir(Tire),550
Üretim Miktarı,Domates (Sofralık),Ton,2014,İzmir(Tire),2239
Ekilen Alan,Domates (Sofralık),Dekar,2014,İzmir(Torbalı),6485
Üretim Miktarı,Domates (Sofralık),Ton,2014,İzmir(Torbalı),42987
Ekilen Alan,Domates (Sofralık),Dekar,2014,İzmir(Ödemiş),3052
Üretim Miktarı,Domates (Sofralık),Ton,2014,İzmir(Ödemiş),23413
Ekilen Alan,Domates (Sofralık),Dekar,2015,İzmir(Bayındır),2000
Üretim Miktarı,Domates (Sofralık),Ton,2015,İzmir(Bayındır),13726
Ekilen Alan,Domates (Sofralık),Dekar,2015,İzmir(Bergama),11864
Üretim Miktarı,Domates (Sofralık),Ton,2015,İzmir(Bergama),85315
Ekilen Alan,Domates (Sofralık),Dekar,2015,İzmir(Menderes),1393
Üretim Miktarı,Domates (Sofralık),Ton,2015,İzmir(Menderes),5028
Ekilen Alan,Domates (Sofralık),Dekar,2015,İzmir(Tire),550
Üretim Miktarı,Domates (Sofralık),Ton,2015,İzmir(Tire),2727
Ekilen Alan,Domates (Sofralık),Dekar,2015,İzmir(Torbalı),4862
Üretim Miktarı,Domates (Sofralık),Ton,2015,İzmir(Torbalı),31456
Ekilen Alan,Domates (Sofralık),Dekar,2015,İzmir(Ödemiş),3052
Üretim Miktarı,Domates (Sofralık),Ton,2015,İzmir(Ödemiş),22833
Ekilen Alan,Domates (Sofralık),Dekar,2016,İzmir(Bayındır),2000
Üretim Miktarı,Domates (Sofralık),Ton,2016,İzmir(Bayındır),14202
Ekilen Alan,Domates (Sofralık),Dekar,2016,İzmir(Bergama),10664
Üretim Miktarı,Domates (Sofralık),Ton,2016,İzmir(Bergama),103170
Ekilen Alan,Domates (Sofralık),Dekar,2016,İzmir(Menderes),1503
Üretim Miktarı,Domates (Sofralık),Ton,2016,İzmir(Menderes),6750
Ekilen Alan,Domates (Sofralık),Dekar,2016,İzmir(Tire),600
Üretim Miktarı,Domates (Sofralık),Ton,2016,İzmir(Tire),3135
Ekilen Alan,Domates (Sofralık),Dekar,2016,İzmir(Torbalı),4530
Üretim Miktarı,Domates (Sofralık),Ton,2016,İzmir(Torbalı),30563
Ekilen Alan,Domates (Sofralık),Dekar,2016,İzmir(Ödemiş),5052
Üretim Miktarı,Domates (Sofralık),Ton,2016,İzmir(Ödemiş),39316
Ekilen Alan,Domates (Sofralık),Dekar,2017,İzmir(Bayındır),2000
Üretim Miktarı,Domates (Sofralık),Ton,2017,İzmir(Bayındır),13882
Ekilen Alan,Domates (Sofralık),Dekar,2017,İzmir(Bergama),10935
Üretim Miktarı,Domates (Sofralık),Ton,2017,İzmir(Bergama),103441
Ekilen Alan,Domates (Sofralık),Dekar,2017,İzmir(Menderes),1200
Üretim Miktarı,Domates (Sofralık),Ton,2017,İzmir(Menderes),5668
Ekilen Alan,Domates (Sofralık),Dekar,2017,İzmir(Tire),600
Üretim Miktarı,Domates (Sofralık),Ton,2017,İzmir(Tire),3034
Ekilen Alan,Domates (Sofralık),Dekar,2017,İzmir(Torbalı),3400
Üretim Miktarı,Domates (Sofralık),Ton,2017,İzmir(Torbalı),22625
Ekilen Alan,Domates (Sofralık),Dekar,2017,İzmir(Ödemiş),6052
Üretim Miktarı,Domates (Sofralık),Ton,2017,İzmir(Ödemiş),46028
Ekilen Alan,Domates (Sofralık),Dekar,2018,İzmir(Bayındır),1000
Üretim Miktarı,Domates (Sofralık),Ton,2018,İzmir(Bayındır),6954
Ekilen Alan,Domates (Sofralık),Dekar,2018,İzmir(Bergama),8934
Üretim Miktarı,Domates (Sofralık),Ton,2018,İzmir(Bergama),89351
Ekilen Alan,Domates (Sofralık),Dekar,2018,İzmir(Menderes),1000
Üretim Miktarı,Domates (Sofralık),Ton,2018,İzmir(Menderes),3669
Ekilen Alan,Domates (Sofralık),Dekar,2018,İzmir(Tire),1000
Üretim Miktarı,Domates (Sofralık),Ton,2018,İzmir(Tire),5066
Ekilen Alan,Domates (Sofralık),Dekar,2018,İzmir(Torbalı),1875
Üretim Miktarı,Domates (Sofralık),Ton,2018,İzmir(Torbalı),12434
Ekilen Alan,Domates (Sofralık),Dekar,2018,İzmir(Ödemiş),6558
Üretim Miktarı,Domates (Sofralık),Ton,2018,İzmir(Ödemiş),49971
Ekilen Alan,Domates (Sofralık),Dekar,2019,İzmir(Bayındır),1000
Üretim Miktarı,Domates (Sofralık),Ton,2019,İzmir(Bayındır),6954
Ekilen Alan,Domates (Sofralık),Dekar,2019,İzmir(Bergama),8787
Üretim Miktarı,Domates (Sofralık),Ton,2019,İzmir(Bergama),87380
Ekilen Alan,Domates (Sofralık),Dekar,2019,İzmir(Menderes),1550
Üretim Miktarı,Domates (Sofralık),Ton,2019,İzmir(Menderes),5910
Ekilen Alan,Domates (Sofralık),Dekar,2019,İzmir(Tire),1000
Üretim Miktarı,Domates (Sofralık),Ton,2019,İzmir(Tire),5050
Ekilen Alan,Domates (Sofralık),Dekar,2019,İzmir(Torbalı),810
Üretim Miktarı,Domates (Sofralık),Ton,2019,İzmir(Torbalı),6075
Ekilen Alan,Domates (Sofralık),Dekar,2019,İzmir(Ödemiş),6552
Üretim Miktarı,Domates (Sofralık),Ton,2019,İzmir(Ödemiş),49266
Ekilen Alan,Domates (Sofralık),Dekar,2020,İzmir(Bayındır),700
Üretim Miktarı,Domates (Sofralık),Ton,2020,İzmir(Bayındır),3500
Ekilen Alan,Domates (Sofralık),Dekar,2020,İzmir(Bergama),8854
Üretim Miktarı,Domates (Sofralık),Ton,2020,İzmir(Bergama),85810
Ekilen Alan,Domates (Sofralık),Dekar,2020,İzmir(Menderes),4611
Üretim Miktarı,Domates (Sofralık),Ton,2020,İzmir(Menderes),15010
Ekilen Alan,Domates (Sofralık),Dekar,2020,İzmir(Tire),400
Üretim Miktarı,Domates (Sofralık),Ton,2020,İzmir(Tire),2020
Ekilen Alan,Domates (Sofralık),Dekar,2020,İzmir(Torbalı),1165
Üretim Miktarı,Domates (Sofralık),Ton,2020,İzmir(Torbalı),7678
Ekilen Alan,Domates (Sofralık),Dekar,2020,İzmir(Ödemiş),6000
Üretim Miktarı,Domates (Sofralık),Ton,2020,İzmir(Ödemiş),45000
Ekilen Alan,Domates (Sofralık),Dekar,2021,İzmir(Bayındır),500
Üretim Miktarı,Domates (Sofralık),Ton,2021,İzmir(Bayındır),2500
Ekilen Alan,Domates (Sofralık),Dekar,2021,İzmir(Bergama),1854
Üretim Miktarı,Domates (Sofralık),Ton,2021,İzmir(Bergama),34068
Ekilen Alan,Domates (Sofralık),Dekar,2021,İzmir(Menderes),3833
Üretim Miktarı,Domates (Sofralık),Ton,2021,İzmir(Menderes),12559
Ekilen Alan,Domates (Sofralık),Dekar,2021,İzmir(Tire),796
Üretim Miktarı,Domates (Sofralık),Ton,2021,İzmir(Tire),4020
Ekilen Alan,Domates (Sofralık),Dekar,2021,İzmir(Torbalı),1680
Üretim Miktarı,Domates (Sofralık),Ton,2021,İzmir(Torbalı),8963
Ekilen Alan,Domates (Sofralık),Dekar,2021,İzmir(Ödemiş),2000
Üretim Miktarı,Domates (Sofralık),Ton,2021,İzmir(Ödemiş),14000
Ekilen Alan,Domates (Sofralık),Dekar,2022,İzmir(Bayındır),300
Üretim Miktarı,Domates (Sofralık),Ton,2022,İzmir(Bayındır),1507
Ekilen Alan,Domates (Sofralık),Dekar,2022,İzmir(Bergama),1839
Üretim Miktarı,Domates (Sofralık),Ton,2022,İzmir(Bergama),34754
Ekilen Alan,Domates (Sofralık),Dekar,2022,İzmir(Menderes),2077
Üretim Miktarı,Domates (Sofralık),Ton,2022,İzmir(Menderes),7057
Ekilen Alan,Domates (Sofralık),Dekar,2022,İzmir(Tire),1165
Üretim Miktarı,Domates (Sofralık),Ton,2022,İzmir(Tire),5970
Ekilen Alan,Domates (Sofralık),Dekar,2022,İzmir(Torbalı),1005
Üretim Miktarı,Domates (Sofralık),Ton,2022,İzmir(Torbalı),6138
Ekilen Alan,Domates (Sofralık),Dekar,2022,İzmir(Ödemiş),3000
Üretim Miktarı,Domates (Sofralık),Ton,2022,İzmir(Ödemiş),22606
Ekilen Alan,Domates (Sofralık),Dekar,2023,İzmir(Bayındır),300
Üretim Miktarı,Domates (Sofralık),Ton,2023,İzmir(Bayındır),1507
Ekilen Alan,Domates (Sofralık),Dekar,2023,İzmir(Bergama),1894
Üretim Miktarı,Domates (Sofralık),Ton,2023,İzmir(Bergama),23954
Ekilen Alan,Domates (Sofralık),Dekar,2023,İzmir(Menderes),1080
Üretim Miktarı,Domates (Sofralık),Ton,2023,İzmir(Menderes),3790
Ekilen Alan,Domates (Sofralık),Dekar,2023,İzmir(Tire),950
Üretim Miktarı,Domates (Sofralık),Ton,2023,İzmir(Tire),4845
Ekilen Alan,Domates (Sofralık),Dekar,2023,İzmir(Torbalı),1305
Üretim Miktarı,Domates (Sofralık),Ton,2023,İzmir(Torbalı),6625
Ekilen Alan,Domates (Sofralık),Dekar,2023,İzmir(Ödemiş),3500
Üretim Miktarı,Domates (Sofralık),Ton,2023,İzmir(Ödemiş),35000
Ekilen Alan,Domates (Sofralık),Dekar,2024,İzmir(Bayındır),1000
Üretim Miktarı,Domates (Sofralık),Ton,2024,İzmir(Bayındır),5000
Ekilen Alan,Domates (Sofralık),Dekar,2024,İzmir(Bergama),11969
Üretim Miktarı,Domates (Sofralık),Ton,2024,İzmir(Bergama),90970
Ekilen Alan,Domates (Sofralık),Dekar,2024,İzmir(Menderes),1070
Üretim Miktarı,Domates (Sofralık),Ton,2024,İzmir(Menderes),4680
Ekilen Alan,Domates (Sofralık),Dekar,2024,İzmir(Tire),850
Üretim Miktarı,Domates (Sofralık),Ton,2024,İzmir(Tire),4335
Ekilen Alan,Domates (Sofralık),Dekar,2024,İzmir(Torbalı),3276
Üretim Miktarı,Domates (Sofralık),Ton,2024,İzmir(Torbalı),18109
Ekilen Alan,Domates (Sofralık),Dekar,2024,İzmir(Ödemiş),2000
Üretim Miktarı,Domates (Sofralık),Ton,2024,İzmir(Ödemiş),16000
Ekilen Alan,Domates (Sofralık),Dekar,2025,İzmir(Bayındır),785
Üretim Miktarı,Domates (Sofralık),Ton,2025,İzmir(Bayındır),5107
Ekilen Alan,Domates (Sofralık),Dekar,2025,İzmir(Bergama),11268
Üretim Miktarı,Domates (Sofralık),Ton,2025,İzmir(Bergama),90043
Ekilen Alan,Domates (Sofralık),Dekar,2025,İzmir(Menderes),610
Üretim Miktarı,Domates (Sofralık),Ton,2025,İzmir(Menderes),2457
Ekilen Alan,Domates (Sofralık),Dekar,2025,İzmir(Tire),1650
Üretim Miktarı,Domates (Sofralık),Ton,2025,İzmir(Tire),10732
Ekilen Alan,Domates (Sofralık),Dekar,2025,İzmir(Torbalı),6580
Üretim Miktarı,Domates (Sofralık),Ton,2025,İzmir(Torbalı),39597
Ekilen Alan,Domates (Sofralık),Dekar,2025,İzmir(Ödemiş),2000
Üretim Miktarı,Domates (Sofralık),Ton,2025,İzmir(Ödemiş),15010
Ekilen Alan,Hıyar (Sofralık),Dekar,2014,İzmir(Bayındır),5000
Üretim Miktarı,Hıyar (Sofralık),Ton,2014,İzmir(Bayındır),21500
Ekilen Alan,Hıyar (Sofralık),Dekar,2014,İzmir(Bergama),1404
Üretim Miktarı,Hıyar (Sofralık),Ton,2014,İzmir(Bergama),2404
Ekilen Alan,Hıyar (Sofralık),Dekar,2014,İzmir(Menderes),6337
Üretim Miktarı,Hıyar (Sofralık),Ton,2014,İzmir(Menderes),152088
Ekilen Alan,Hıyar (Sofralık),Dekar,2014,İzmir(Tire),600
Üretim Miktarı,Hıyar (Sofralık),Ton,2014,İzmir(Tire),1200
Ekilen Alan,Hıyar (Sofralık),Dekar,2014,İzmir(Torbalı),395
Üretim Miktarı,Hıyar (Sofralık),Ton,2014,İzmir(Torbalı),2250
Ekilen Alan,Hıyar (Sofralık),Dekar,2014,İzmir(Ödemiş),5070
Üretim Miktarı,Hıyar (Sofralık),Ton,2014,İzmir(Ödemiş),6400
Ekilen Alan,Hıyar (Sofralık),Dekar,2015,İzmir(Bayındır),5000
Üretim Miktarı,Hıyar (Sofralık),Ton,2015,İzmir(Bayındır),21500
Ekilen Alan,Hıyar (Sofralık),Dekar,2015,İzmir(Bergama),1404
Üretim Miktarı,Hıyar (Sofralık),Ton,2015,İzmir(Bergama),2404
Ekilen Alan,Hıyar (Sofralık),Dekar,2015,İzmir(Menderes),4691
Üretim Miktarı,Hıyar (Sofralık),Ton,2015,İzmir(Menderes),112584
Ekilen Alan,Hıyar (Sofralık),Dekar,2015,İzmir(Tire),600
Üretim Miktarı,Hıyar (Sofralık),Ton,2015,İzmir(Tire),1200
Ekilen Alan,Hıyar (Sofralık),Dekar,2015,İzmir(Torbalı),513
Üretim Miktarı,Hıyar (Sofralık),Ton,2015,İzmir(Torbalı),2708
Ekilen Alan,Hıyar (Sofralık),Dekar,2015,İzmir(Ödemiş),5070
Üretim Miktarı,Hıyar (Sofralık),Ton,2015,İzmir(Ödemiş),6400
Ekilen Alan,Hıyar (Sofralık),Dekar,2016,İzmir(Bayındır),3000
Üretim Miktarı,Hıyar (Sofralık),Ton,2016,İzmir(Bayındır),12900
Ekilen Alan,Hıyar (Sofralık),Dekar,2016,İzmir(Bergama),1404
Üretim Miktarı,Hıyar (Sofralık),Ton,2016,İzmir(Bergama),2404
Ekilen Alan,Hıyar (Sofralık),Dekar,2016,İzmir(Menderes),4871
Üretim Miktarı,Hıyar (Sofralık),Ton,2016,İzmir(Menderes),116904
Ekilen Alan,Hıyar (Sofralık),Dekar,2016,İzmir(Tire),600
Üretim Miktarı,Hıyar (Sofralık),Ton,2016,İzmir(Tire),1200
Ekilen Alan,Hıyar (Sofralık),Dekar,2016,İzmir(Torbalı),385
Üretim Miktarı,Hıyar (Sofralık),Ton,2016,İzmir(Torbalı),2170
Ekilen Alan,Hıyar (Sofralık),Dekar,2016,İzmir(Ödemiş),3070
Üretim Miktarı,Hıyar (Sofralık),Ton,2016,İzmir(Ödemiş),5210
Ekilen Alan,Hıyar (Sofralık),Dekar,2017,İzmir(Bayındır),2000
Üretim Miktarı,Hıyar (Sofralık),Ton,2017,İzmir(Bayındır),8600
Ekilen Alan,Hıyar (Sofralık),Dekar,2017,İzmir(Bergama),1226
Üretim Miktarı,Hıyar (Sofralık),Ton,2017,İzmir(Bergama),2196
Ekilen Alan,Hıyar (Sofralık),Dekar,2017,İzmir(Menderes),5039
Üretim Miktarı,Hıyar (Sofralık),Ton,2017,İzmir(Menderes),120936
Ekilen Alan,Hıyar (Sofralık),Dekar,2017,İzmir(Tire),600
Üretim Miktarı,Hıyar (Sofralık),Ton,2017,İzmir(Tire),1200
Ekilen Alan,Hıyar (Sofralık),Dekar,2017,İzmir(Torbalı),505
Üretim Miktarı,Hıyar (Sofralık),Ton,2017,İzmir(Torbalı),2710
Ekilen Alan,Hıyar (Sofralık),Dekar,2017,İzmir(Ödemiş),3070
Üretim Miktarı,Hıyar (Sofralık),Ton,2017,İzmir(Ödemiş),5900
Ekilen Alan,Hıyar (Sofralık),Dekar,2018,İzmir(Bayındır),1500
Üretim Miktarı,Hıyar (Sofralık),Ton,2018,İzmir(Bayındır),6450
Ekilen Alan,Hıyar (Sofralık),Dekar,2018,İzmir(Bergama),1026
Üretim Miktarı,Hıyar (Sofralık),Ton,2018,İzmir(Bergama),1856
Ekilen Alan,Hıyar (Sofralık),Dekar,2018,İzmir(Menderes),5079
Üretim Miktarı,Hıyar (Sofralık),Ton,2018,İzmir(Menderes),101580
Ekilen Alan,Hıyar (Sofralık),Dekar,2018,İzmir(Tire),300
Üretim Miktarı,Hıyar (Sofralık),Ton,2018,İzmir(Tire),600
Ekilen Alan,Hıyar (Sofralık),Dekar,2018,İzmir(Torbalı),378
Üretim Miktarı,Hıyar (Sofralık),Ton,2018,İzmir(Torbalı),2138
