|||Sütunlar||||||
||2022|100.0|75.0|4930.0|207.0|205.0|100.0|
||2023|100.0|34.0|4950.0|186.0|168.0|2000.0|
||2024|100.0|231.0|5400.0|160.0|193.0|1500.0|
||2025|124.0|204.0|4400.0|2100.0|180.0|1000.0|
|Ekilen Alan ve 01.13.33.00.00. (Patlıcan) - Dekar|2014|2000.0|1400.0|410.0|1500.0|519.0|1500.0|
||2015|1000.0|1400.0|420.0|1480.0|250.0|1500.0|
||2016|1000.0|1400.0|530.0|1500.0|355.0|1500.0|
||2017|1000.0|1200.0|861.0|1500.0|385.0|1900.0|
||2018|1000.0|1200.0|961.0|500.0|331.0|2000.0|
||2019|800.0|1200.0|1501.0|520.0|455.0|2000.0|
||2020|300.0|1200.0|2150.0|185.0|180.0|1500.0|
||2021|400.0|77.0|2150.0|168.0|245.0|150.0|
||2022|350.0|52.0|2150.0||176.0|150.0|
||2023|350.0|46.0|2155.0||128.0|700.0|
||2024|400.0|457.0|2405.0||280.0|700.0|
||2025|352.0|389.0|1900.0||240.0|500.0|
|Ekilen Alan ve 01.13.34.00.01. (Domates (Sofralık)) - Dekar|2014|2200.0|11779.0|1383.0|550.0|6485.0|3052.0|
||2015|2000.0|11864.0|1393.0|550.0|4862.0|3052.0|
||2016|2000.0|10664.0|1503.0|600.0|4530.0|5052.0|
||2017|2000.0|10935.0|1200.0|600.0|3400.0|6052.0|
||2018|1000.0|8934.0|1000.0|1000.0|1875.0|6558.0|
||2019|1000.0|8787.0|1550.0|1000.0|810.0|6552.0|
||2020|700.0|8854.0|4611.0|400.0|1165.0|6000.0|
||2021|500.0|1854.0|3833.0|796.0|1680.0|2000.0|
||2022|300.0|1839.0|2077.0|1165.0|1005.0|3000.0|
||2023|300.0|1894.0|1080.0|950.0|1305.0|3500.0|
||2024|1000.0|11969.0|1070.0|850.0|3276.0|2000.0|
||2025|785.0|11268.0|610.0|1650.0|6580.0|2000.0|
|Ekilen Alan ve 01.13.39.00.02. (Kabak (Sakız)) - Dekar|2014|1000.0|400.0|350.0|450.0|450.0|210.0|
||2015|800.0|400.0|355.0|450.0|330.0|210.0|
||2016|800.0|400.0|355.0|400.0|300.0|220.0|
||2017|800.0|400.0|390.0|400.0|405.0|220.0|
||2018|800.0|400.0|390.0|300.0|265.0|155.0|
||2019|600.0|400.0|390.0|300.0|250.0|110.0|
||2020|200.0|400.0|390.0|68.0|180.0|80.0|
||2021|200.0|17.0|380.0|42.0|185.0|25.0|
||2022|200.0|13.0|380.0||135.0|25.0|
||2023|150.0|11.0|380.0||110.0||
||2024|150.0|162.0|380.0||157.0|50.0|
||2025|132.0|172.0|330.0||124.0|50.0|
|Ekilen Alan ve 01.13.43.00.02. (Soğan (Kuru)) - Dekar|2014||950.0||||50.0|
||2015||950.0||||50.0|
||2016||1000.0||||30.0|
||2017||900.0|||||
||2018||800.0|||||
||2019||1000.0|||||
||2020||22.0|||||
||2021||18.0|||||
||2022||45.0|||||
||2023||65.0|||||
||2024||86.0|||||
||2025||53.0|||||
|Üretim Miktarı ve 01.13.21.00.00. (Karpuz) - Ton|2014|20000.0|3080.0|19440.0|56000.0|19125.0|97500.0|
||2015|20028.0|3084.0|19469.0|53881.0|10096.0|97635.0|
||2016|20000.0|3080.0|19440.0|39000.0|8325.0|97500.0|
||2017|20000.0|2750.0|18640.0|39000.0|5220.0|97500.0|
||2018|20000.0|2750.0|18640.0|15000.0|5085.0|78000.0|
||2019|11000.0|2750.0|18640.0|14250.0|4092.0|71500.0|
||2020|6525.0|2750.0|4800.0|2550.0|4803.0|9000.0|
||2021|6336.0|471.0|4412.0|2319.0|5313.0|11250.0|
||2022|6525.0|218.0|4412.0|3465.0|5400.0|22500.0|
||2023|6750.0|126.0|4412.0|3078.0|5000.0|11250.0|
||2024|6750.0|443.0|4412.0|4050.0|6740.0|11250.0|
||2025|10868.0|489.0|6000.0|9450.0|11475.0|12500.0|
|Üretim Miktarı ve 01.13.31.00.03. (Biber (Sivri)) - Ton|2014|7360.0|1500.0|1900.0|2100.0|4926.0|4500.0|
||2015|5760.0|1500.0|4474.0|2025.0|5495.0|4500.0|
||2016|5749.0|1497.0|4600.0|2021.0|5164.0|4491.0|
||2017|2560.0|1500.0|5011.0|1800.0|5065.0|4499.0|
||2018|2560.0|1500.0|5006.0|1500.0|5529.0|5248.0|
||2019|2560.0|1500.0|4616.0|1500.0|6095.0|6000.0|
||2020|9200.0|1500.0|5764.0|473.0|5558.0|6000.0|
||2021|7600.0|108.0|5764.0|569.0|5712.0|2000.0|
||2022|6060.0|127.0|5764.0||6234.0|2000.0|
||2023|4640.0|194.0|5342.0||4380.0|6000.0|
||2024|4480.0|719.0|3152.0||5535.0|5250.0|
||2025|4867.0|779.0|1944.0||5700.0|3500.0|
|Üretim Miktarı ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|2014|21500.0|2404.0|152088.0|1200.0|2250.0|6400.0|
||2015|21500.0|2404.0|112584.0|1200.0|2708.0|6400.0|
||2016|12900.0|2404.0|116904.0|1200.0|2170.0|5210.0|
||2017|8600.0|2196.0|120936.0|1200.0|2710.0|5900.0|
||2018|6450.0|1856.0|101580.0|600.0|2138.0|4600.0|
||2019|4300.0|1844.0|98600.0|600.0|1623.0|4400.0|
||2020|508.0|1788.0|98600.0|240.0|1331.0|4500.0|
||2021|350.0|1432.0|98600.0|236.0|1225.0|450.0|
||2022|350.0|1583.0|98600.0|414.0|948.0|450.0|
||2023|350.0|244.0|99000.0|372.0|900.0|9000.0|
||2024|350.0|579.0|108000.0|320.0|1035.0|6750.0|
||2025|436.0|349.0|88439.0|9480.0|894.0|4510.0|
|Üretim Miktarı ve 01.13.33.00.00. (Patlıcan) - Ton|2014|6600.0|2520.0|1046.0|4500.0|1555.0|6000.0|
||2015|3300.0|2520.0|1076.0|4440.0|748.0|6000.0|
||2016|3300.0|2520.0|1451.0|4575.0|1063.0|6000.0|
||2017|3300.0|2160.0|2234.0|4500.0|1153.0|7600.0|
||2018|3300.0|2160.0|2584.0|1500.0|990.0|8000.0|
||2019|2640.0|2160.0|4153.0|1560.0|1318.0|8000.0|
||2020|1200.0|2160.0|7800.0|555.0|504.0|6000.0|
||2021|1600.0|139.0|7800.0|504.0|704.0|600.0|
||2022|1401.0|94.0|7802.0||536.0|600.0|
||2023|1401.0|83.0|7830.0||324.0|2800.0|
||2024|1600.0|826.0|12150.0||716.0|2800.0|
||2025|1408.0|703.0|8500.0||616.0|2000.0|
|Üretim Miktarı ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|2014|15224.0|84121.0|5045.0|2239.0|42987.0|23413.0|
||2015|13726.0|85315.0|5028.0|2727.0|31456.0|22833.0|
||2016|14202.0|103170.0|6750.0|3135.0|30563.0|39316.0|
||2017|13882.0|103441.0|5668.0|3034.0|22625.0|46028.0|
||2018|6954.0|89351.0|3669.0|5066.0|12434.0|49971.0|
||2019|6954.0|87380.0|5910.0|5050.0|6075.0|49266.0|
||2020|3500.0|85810.0|15010.0|2020.0|7678.0|45000.0|
||2021|2500.0|34068.0|12559.0|4020.0|8963.0|14000.0|
||2022|1507.0|34754.0|7057.0|5970.0|6138.0|22606.0|
||2023|1507.0|23954.0|3790.0|4845.0|6625.0|35000.0|
||2024|5000.0|90970.0|4680.0|4335.0|18109.0|16000.0|
||2025|5107.0|90043.0|2457.0|10732.0|39597.0|15010.0|
|Üretim Miktarı ve 01.13.39.00.02. (Kabak (Sakız)) - Ton|2014|3500.0|680.0|700.0|1125.0|1575.0|660.0|
||2015|2800.0|680.0|710.0|1125.0|1155.0|660.0|
||2016|2800.0|680.0|710.0|980.0|1050.0|711.0|
||2017|2800.0|680.0|780.0|1000.0|1418.0|722.0|
||2018|2800.0|680.0|780.0|750.0|927.0|502.0|
||2019|2100.0|680.0|780.0|750.0|875.0|375.0|
||2020|311.0|705.0|809.0|176.0|607.0|415.0|
||2021|300.0|30.0|760.0|109.0|555.0|125.0|
||2022|500.0|23.0|760.0||439.0|125.0|
||2023|375.0|20.0|760.0||330.0||
||2024|375.0|287.0|760.0||473.0|175.0|
||2025|330.0|304.0|660.0||376.0|175.0|
|Üretim Miktarı ve 01.13.43.00.02. (Soğan (Kuru)) - Ton|2014||1805.0||||100.0|
||2015||1805.0||||100.0|
||2016||1900.0||||60.0|
||2017||1701.0|||||
||2018||1520.0|||||
||2019||1800.0|||||
||2020||35.0|||||
||2021||25.0|||||
||2022||65.0|||||
||2023||80.0|||||
||2024||106.0|||||
||2025||57.0|||||
|||||||||
